id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
208,199000,4,1.5,1160,6400,1,bad,7,1160,0,1975,,98023,47.3036,-122.378,1160,6400
209,314000,3,1.75,1810,41800,1,devastated,7,1210,600,1980,,98038,47.4109,-121.958,1650,135036
210,437500,3,2.5,2320,36847,2,average,9,2320,0,1992,,98045,47.4838,-121.714,2550,35065
211,850830,3,2.5,2070,13241,1.5,devastated,9,1270,800,1910,,98102,47.6415,-122.315,2200,4500
212,555000,3,2,1980,3478,1.5,bad,7,1440,540,1929,,98117,47.6775,-122.372,1610,3478
213,699950,3,2.25,2190,107593,2,bad,8,2190,0,1983,,98077,47.7731,-122.08,2570,47777
214,,3,2.5,2920,8113,2,average,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113
215,290000,3,1,1210,33919,1,average,7,1210,0,1954,,98058,47.4375,-122.184,1640,14910
216,375000,3,2.5,2340,10005,1,bad,8,1460,880,1978,,98058,47.4431,-122.133,2250,8162
217,460000,3,1,1670,4005,1.5,bad,7,1170,500,1939,,98117,47.6878,-122.38,1240,4005
218,188500,2,1.75,1240,2493,1,bad,8,1240,0,1985,,98198,47.3813,-122.322,1270,4966
219,680000,4,2.5,3140,28037,2,bad,10,3140,0,1991,,98077,47.7304,-122.082,2990,35001
220,470000,5,1.75,2030,12342,2,bad,7,2030,0,1942,,98052,47.6417,-122.109,2500,9433
221,597750,4,2.5,2310,9624,2,average,8,2310,0,1984,,98027,47.5386,-122.053,1940,9636
222,570000,3,1.75,1260,3328,1,devastated,6,700,560,1905,,98103,47.6823,-122.349,1380,3536
223,272500,3,1.75,1540,12600,1,bad,7,1160,380,1980,,98038,47.3624,-122.031,1540,11656
224,329950,3,1.75,2080,5969,1,average,7,1080,1000,1971,,98108,47.5474,-122.295,2090,5500
225,,4,2.5,3230,16171,2,average,9,2520,710,2001,,98001,47.3183,-122.253,2640,8517
226,740500,3,3.5,4380,6350,2,average,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350
227,518500,3,3.5,1590,1102,3,average,8,1590,0,2010,,98103,47.6824,-122.347,1620,3166
228,205425,2,1,880,6780,1,bad,6,880,0,1945,,98178,47.5009,-122.248,1190,6780
229,171800,4,2,1570,9600,1,average,6,1570,0,1950,,98168,47.4965,-122.303,1880,9000
230,535000,4,1,1610,2982,1.5,bad,7,1610,0,1925,,98144,47.587,-122.294,1610,4040
231,660000,3,2.5,2400,6474,1,average,8,1560,840,1964,,98177,47.7728,-122.386,2340,10856
232,391500,3,2,1450,9132,1,average,7,1450,0,1987,,98034,47.7288,-122.226,1580,9104
233,395000,2,1,770,6000,1,average,6,770,0,1953,,98117,47.6999,-122.364,1710,6000
234,445000,4,1.75,2100,4400,1.5,devastated,7,1720,380,1924,,98118,47.5299,-122.266,1850,4400
235,770000,3,2.25,2910,10204,2,average,9,2910,0,1990,,98052,47.6897,-122.098,2700,13992
236,,4,2.75,2750,17789,1.5,average,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275
237,445000,3,2.25,2100,8201,1,average,8,1620,480,1967,,98178,47.5091,-122.244,2660,8712
238,260000,4,2.25,2160,8811,1,average,8,1360,800,1978,,98023,47.3129,-122.39,2090,8400
239,822500,5,3.5,2320,4960,2,devastated,7,1720,600,1926,,98103,47.6763,-122.352,1700,4960
240,430000,4,2.5,2070,4310,2,average,7,2070,0,2004,,98065,47.5319,-121.85,1970,3748
241,212000,3,1.75,1060,7875,1,bad,7,1060,0,1986,,98092,47.2761,-122.152,1420,7680
242,660500,4,2.25,2010,9603,1,average,8,1440,570,1986,,98027,47.5343,-122.054,2060,9793
243,784000,3,3.5,3950,111078,1.5,average,9,2460,1490,1989,,98052,47.697,-122.072,2480,88500
244,453246,3,2.5,2010,2287,2,average,8,1390,620,2014,,98029,47.5517,-121.998,1690,1662
245,675000,4,3.5,2140,2278,3,average,9,2140,0,2005,,98107,47.6734,-122.38,1540,2285
246,199000,3,1.75,1320,17390,1,bad,7,1320,0,1956,,98003,47.3257,-122.296,1550,19265
247,220000,4,1.75,2020,7840,1,average,7,1010,1010,1968,,98003,47.3309,-122.299,1750,8140
248,452000,4,2.25,2590,10002,1,bad,8,1340,1250,1968,,98028,47.7689,-122.266,1550,10436
249,382500,2,1,1190,4440,1,average,6,1190,0,1981,,98125,47.7135,-122.287,1060,5715
250,519950,3,2.25,1170,1249,3,average,8,1170,0,2014,,98107,47.6722,-122.381,1350,1310
251,665000,2,1,1110,3200,1,average,7,1110,0,1925,,98119,47.6338,-122.358,1170,3600
252,527700,5,2.5,2820,9375,1,bad,8,1550,1270,1968,,98006,47.5707,-122.128,2820,9375
253,205000,3,1,1610,8579,1,bad,7,1010,600,1962,,98058,47.4563,-122.171,1610,8579
254,420000,3,1,1060,8097,1,bad,7,940,120,1923,,98133,47.7144,-122.351,1560,7940
255,500000,4,2.25,2030,8517,1,bad,8,1380,650,1961,,98006,47.5495,-122.174,2230,8824
256,921500,4,2.5,3670,315374,2,bad,9,3670,0,1994,,98077,47.7421,-122.026,2840,87991
257,890000,4,1,2550,4000,2,average,8,2370,180,1905,,98109,47.6354,-122.353,2200,4000
258,430000,2,2.5,2420,60984,2,average,7,2420,0,2007,,98027,47.5262,-121.943,1940,193842
259,258000,5,2,2260,12500,1,bad,8,1130,1130,1960,,98032,47.3887,-122.286,1360,18000
260,511000,3,1,1430,3455,1,average,7,980,450,1947,,98103,47.6873,-122.336,1450,4599
261,532170,3,2,1360,3090,2,average,8,1360,0,1990,,98103,47.6838,-122.353,1500,3090
262,560000,3,1,1110,5000,1.5,average,7,1110,0,1947,,98107,47.655,-122.359,1420,5000
263,282950,3,1,1250,8200,1,bad,7,1250,0,1954,,98003,47.3255,-122.304,1680,8633
264,,4,3.25,5180,19850,2,average,12,3540,1640,2006,,98006,47.562,-122.162,3160,9750
265,350000,1,1,700,5100,1,average,7,700,0,1942,,98115,47.679,-122.3,1010,5100
266,215000,3,1,1180,7669,1,bad,7,1180,0,1967,,98058,47.4479,-122.176,1190,7669
267,650000,5,3.5,3960,25245,2,average,9,2500,1460,1996,,98056,47.525,-122.172,2640,13675
268,320000,4,2.75,2640,7500,1,average,8,1620,1020,1967,,98023,47.3135,-122.369,1980,7875
269,247000,3,2,1270,7198,1.5,average,7,1270,0,1916,2013,98022,47.2086,-121.996,1160,7198
270,320000,4,1.75,1760,11180,1,bad,8,1760,0,1968,,98059,47.4715,-122.118,1730,11180
271,255000,5,2.25,2060,8632,1,average,7,1030,1030,1962,,98146,47.4877,-122.335,1010,11680
272,438000,3,1.75,1780,9660,1,average,7,1780,0,1962,,98034,47.7171,-122.193,1200,9660
273,900000,3,2.5,3400,16603,2,average,10,3400,0,2000,,98075,47.6012,-122.023,3400,12601
274,441000,3,2.75,1910,7280,1,average,7,1160,750,1979,,98034,47.7319,-122.224,1710,8152
275,420000,3,2,2020,38332,1,bad,7,1010,1010,1975,,98027,47.4582,-122.023,2110,36590
276,370000,3,1.75,1580,7000,1,average,7,1180,400,1976,,98034,47.7209,-122.168,1640,7500
277,269950,2,1.75,1340,7250,1,devastated,5,700,640,1949,,98198,47.408,-122.327,1830,9750
278,807100,4,2.5,2680,4499,2,average,9,2680,0,1999,,98006,47.565,-122.125,2920,4500
279,653000,3,2.5,2680,9750,1,bad,8,1610,1070,1979,,98034,47.7028,-122.231,2480,8750
280,371500,3,2,1370,8336,1,devastated,7,1370,0,1964,,98133,47.7458,-122.331,1770,7288
281,284000,3,1.75,1560,21000,1,average,7,1560,0,1954,,98166,47.4776,-122.337,1070,7920
282,,3,1.75,2160,7140,1,bad,7,1670,490,1978,,98023,47.3026,-122.374,1930,7350
283,313000,3,1.5,1340,7912,1.5,average,7,1340,0,1955,,98133,47.7658,-122.339,1480,7940
284,917500,4,2.5,3880,35003,2,average,10,2570,1310,1984,,98033,47.6477,-122.182,3740,35230
285,673000,4,2.25,2590,8190,2,bad,8,2590,0,1980,,98006,47.5619,-122.125,2260,8335
286,425000,3,2.5,1120,1100,2,average,8,820,300,2008,,98122,47.6106,-122.31,1590,1795
287,,5,2.75,1970,5400,1,average,7,1320,650,1986,,98144,47.5868,-122.308,1280,2150
288,385000,3,1,1220,4800,1,average,6,1220,0,1901,,98122,47.6101,-122.307,1200,4800
289,269950,3,1.5,1950,7560,1,bad,7,1320,630,1975,,98022,47.1976,-121.999,1950,8941
290,330000,2,1,1350,8220,1,average,7,1060,290,1949,,98177,47.7224,-122.358,1540,8280
291,260000,3,2.5,1670,5797,2,average,7,1670,0,1988,,98030,47.3505,-122.179,1670,6183
292,470000,4,3,2380,5125,1.5,bad,7,1680,700,1925,,98126,47.5384,-122.376,1410,5375
293,589000,4,3,2440,9600,2,devastated,7,2440,0,1961,,98034,47.7044,-122.2,2290,9600
294,163500,2,1.5,1050,3419,2,average,7,1050,0,1996,,98038,47.3848,-122.039,1050,3417
295,835000,4,2.75,3130,13412,2,average,9,2140,990,1993,,98052,47.6993,-122.102,2260,9984
296,,5,3,4090,12850,1,bad,10,2090,2000,1986,,98033,47.6627,-122.188,2540,10270
297,269000,4,1.75,1490,10000,1,bad,8,1100,390,1969,,98023,47.3099,-122.379,2190,8910
298,560000,3,2.5,1900,8744,2,average,8,1900,0,1987,,98074,47.62,-122.043,2030,8744
299,615000,4,1,1330,2400,1.5,bad,6,1330,0,1901,,98103,47.65,-122.34,1330,4400
300,585188,3,2.25,2230,10026,1,average,8,1430,800,1975,,98052,47.6647,-122.153,2230,9340
301,305000,3,1.75,1650,9480,1,average,7,1220,430,1977,,98034,47.726,-122.191,1540,8400
302,166950,3,1,1190,8820,1,average,6,1190,0,1959,,98058,47.4616,-122.184,1230,7980
303,799000,3,2.5,2140,9897,1,bad,8,2140,0,1959,,98040,47.5505,-122.219,2680,10083
304,400000,3,2.5,2180,7508,1,bad,7,1420,760,1962,,98133,47.7606,-122.336,1900,7818
305,230000,3,1,1060,10228,1,average,7,1060,0,1948,,98155,47.7481,-122.3,1570,10228
306,256883,3,2.5,1690,5025,2,average,8,1690,0,2003,,98023,47.2779,-122.347,2550,5001
307,423000,4,2,1970,6480,1.5,devastated,7,1130,840,1920,,98108,47.5511,-122.312,1500,6480
308,465000,3,2.5,2150,4084,2,average,8,2150,0,2007,,98126,47.5488,-122.372,1750,2385
309,440000,3,2.5,1910,66211,2,average,7,1910,0,1997,,98024,47.5385,-121.911,2330,67268
310,385000,3,1.75,1350,155073,1,bad,7,1350,0,1969,,98038,47.4058,-121.994,1560,50965
311,210000,3,1,860,11725,1,bad,6,860,0,1943,,98056,47.5093,-122.184,1300,9514
312,297000,3,2.5,1940,14952,2,average,8,1940,0,1994,,98042,47.3777,-122.165,2030,10450
313,470000,3,1,1010,5000,1,average,7,1010,0,1952,,98107,47.675,-122.394,1680,5000
314,,3,1.5,1300,7370,1,bad,7,900,400,1976,,98023,47.3025,-122.37,1430,7500
315,274250,3,1,910,8450,1,bad,6,910,0,1962,,98059,47.4787,-122.158,1400,8040
316,840000,4,1.75,2480,11010,1,bad,9,1630,850,1966,,98040,47.5378,-122.219,2770,10744
317,677900,3,2.5,2440,4587,2,average,8,2440,0,2010,,98052,47.7073,-122.114,2750,4587
318,425000,3,1,1010,5864,1,average,7,1010,0,1915,,98116,47.5733,-122.381,1290,5000
319,180250,2,0.75,900,9600,1,average,6,900,0,1941,,98166,47.4604,-122.339,1250,14280
320,464000,6,3,2300,3404,2,average,7,1600,700,1920,1994,98133,47.7067,-122.343,1560,1312
321,320000,4,2.25,1550,7579,2,average,8,1550,0,1993,,98038,47.354,-122.047,1630,6397
322,625504,3,2.25,1270,1566,2,average,8,1060,210,2014,,98105,47.6647,-122.284,1160,1327
323,592500,4,2.5,2240,12032,1,average,9,2240,0,1983,,98074,47.6143,-122.017,2520,12368
324,465000,3,2.5,2714,17936,2,average,9,2714,0,2005,,98001,47.3185,-122.275,2590,18386
325,477000,4,2.75,1720,6270,2,average,8,1720,0,1978,,98118,47.5458,-122.268,2130,8700
326,280000,2,1,850,16400,1,average,6,850,0,1923,,98168,47.4889,-122.299,1100,14459
327,,5,3,3300,33474,1,average,9,1870,1430,1957,1991,98040,47.5673,-122.21,3836,20953
328,445838,3,2.5,2250,5692,2,average,8,2250,0,2000,,98146,47.5133,-122.379,1320,5390
329,,2,2.25,3900,14864,1,average,8,1950,1950,1947,,98144,47.5884,-122.291,2580,5184
330,467000,2,1.5,1320,10800,1,bad,8,1320,0,1947,,98177,47.7145,-122.367,2120,12040
331,686000,4,2.5,2760,6440,2,average,10,2760,0,1999,,98075,47.5836,-122.026,3070,8127
332,279950,3,2,1750,9750,1,average,7,1350,400,1961,,98198,47.398,-122.299,1900,10125
333,527000,4,2.25,2330,19436,2,average,8,2330,0,1987,,98011,47.7663,-122.215,1910,10055
334,325000,3,2.25,2220,16020,1,bad,8,1780,440,1966,,98030,47.3758,-122.217,2080,9583
335,328000,3,2.25,2020,8379,2,average,7,2020,0,1994,,98038,47.3828,-122.023,2020,8031
336,390000,3,2.25,1250,7500,1,devastated,7,1250,0,1942,,98146,47.5123,-122.373,1280,7392
337,479950,2,2,1510,6516,1,average,8,1510,0,2005,,98053,47.7076,-122.013,1640,6009
338,264950,4,2.25,1720,9753,1,bad,7,1120,600,1978,,98023,47.2922,-122.371,1510,9753
339,235000,3,1,1430,15246,1,bad,7,980,450,1961,,98031,47.4075,-122.214,1960,13068
340,516500,3,2.5,1480,4729,2,average,7,1480,0,2004,,98053,47.6794,-122.034,2250,4729
341,655000,2,1.75,1450,15798,2,average,7,1230,220,1915,1978,98166,47.4497,-122.375,2030,13193
342,500000,4,2.75,2280,15347,1,devastated,7,2280,0,1960,,98059,47.5218,-122.164,2280,15347
343,315000,6,2.75,2940,7350,1,average,8,1780,1160,1978,,98023,47.3103,-122.339,2120,8236
344,213000,2,1,1000,10200,1,average,6,1000,0,1961,,98024,47.5687,-121.899,1150,13702
345,475000,3,1.5,2480,5280,1.5,devastated,7,1620,860,1947,,98108,47.5575,-122.303,2090,4800
346,,5,4,3760,28040,2,average,10,3760,0,1983,,98033,47.6489,-122.183,3430,35096
347,416000,3,2,2220,94300,1,devastated,7,1640,580,1976,,98010,47.3459,-121.95,2070,80100
348,410000,4,1,1970,4740,1.5,average,7,1670,300,1904,2005,98122,47.6136,-122.303,1510,4740
349,800000,3,3.5,3830,221284,2,average,10,3530,300,1993,,98077,47.7641,-122.023,2920,148539
350,472000,6,2.5,4410,14034,1,bad,9,2350,2060,1965,,98003,47.3376,-122.324,2600,13988
351,225000,3,1.75,1430,8505,1,bad,7,1430,0,1968,,98003,47.3173,-122.319,1190,8640
352,210000,2,1,830,6000,1,average,6,830,0,1940,,98126,47.5308,-122.376,830,4960
353,455000,2,1,1430,5000,1.5,good,7,1430,0,1925,,98115,47.6727,-122.299,1450,3750
354,225000,3,1,1300,8316,1,bad,6,1300,0,1954,,98002,47.3221,-122.216,1260,8316
355,480000,2,1,1030,3060,1,bad,7,790,240,1918,,98103,47.6779,-122.353,1390,3060
356,363000,3,2.5,2740,11872,2,average,9,2740,0,1990,,98023,47.3076,-122.395,2570,10377
357,,4,2.5,3650,8354,1,average,9,1830,1820,2000,,98074,47.6338,-122.072,3120,18841
358,181000,2,1.5,720,5120,1,average,6,720,0,1954,,98106,47.5218,-122.357,1150,2566
359,250000,4,2,2010,7312,1,bad,7,2010,0,1976,,98002,47.2785,-122.213,2010,7650
360,481000,3,1.75,1560,3000,1,bad,6,770,790,1918,,98103,47.6846,-122.345,1390,3000
361,260000,3,2,1810,7209,1,bad,7,1240,570,1978,,98032,47.3656,-122.278,1750,7209
362,455000,4,2.5,3360,7685,2,average,9,3360,0,2001,,98058,47.4369,-122.111,3060,6567
363,415000,3,2.25,1510,36224,2,average,8,1510,0,1991,,98045,47.4616,-121.711,1730,36224
364,349500,3,1,1400,3538,1,average,7,800,600,1953,,98118,47.5405,-122.27,1620,6331
365,245000,3,2.5,1730,7442,2,average,7,1730,0,1987,,98030,47.3507,-122.178,1630,6458
366,592500,2,2,1420,9191,1.5,devastated,7,1420,0,1928,,98115,47.6979,-122.32,1420,6816
367,385000,4,1.75,2360,7620,1,bad,7,1180,1180,1955,,98106,47.5278,-122.345,1910,7620
368,315000,3,1.75,1580,11455,1,bad,7,1200,380,1974,,98059,47.4756,-122.147,1550,10650
369,255000,3,1,1230,10170,1,average,7,1230,0,1979,,98045,47.4437,-121.772,1380,10098
370,693000,4,2.5,2460,4425,2,average,8,2460,0,2006,,98052,47.7048,-122.109,2990,5659
371,780000,3,1,1660,4400,1.5,average,8,1460,200,1911,,98112,47.6362,-122.302,1660,4400
372,237000,3,1.75,1270,8470,1,bad,7,1270,0,1960,,98198,47.4207,-122.29,1600,8470
373,525000,3,2.25,2100,40510,2,average,10,1320,780,1979,,98074,47.6154,-122.047,2380,33450
374,425000,2,1,770,5040,1,average,5,770,0,1930,,98144,47.5964,-122.299,1330,2580
375,369900,1,0.75,760,10079,1,devastated,5,760,0,1936,,98070,47.4683,-122.438,1230,14267
376,290000,4,2.5,1700,7280,2,bad,7,1700,0,1988,,98031,47.4045,-122.171,1950,7475
377,285000,3,1,1120,10701,1,average,7,1120,0,1954,,98106,47.5544,-122.358,1130,6350
378,415000,2,1,1070,4500,1,average,7,1070,0,1937,,98115,47.6802,-122.29,1320,4465
379,272500,3,2.5,2070,9900,1,average,8,1420,650,1979,,98023,47.2988,-122.371,2070,8250
380,,4,3.25,5050,20100,1.5,average,11,4750,300,1982,2008,98004,47.6312,-122.223,3890,20060
381,,4,4.75,5310,57346,2,bad,11,5310,0,1989,,98077,47.7285,-122.042,4180,47443
382,436000,2,1,1040,7538,1,bad,7,1040,0,1939,,98133,47.7107,-122.352,1440,7530
